,matches,company_number,address,links,snippet,description_identifier,description,kind,company_type,company_status,address_snippet,title,date_of_creation,date_of_cessation
144,"{'title': [1, 5], 'snippet': []}",11894148,"{'country': 'England', 'postal_code': 'WC2B 5SQ', 'premises': '55 ', 'address_line_1': 'Drury Lane', 'locality': 'London', 'address_line_2': '4th Floor'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
145,"{'title': [1, 5], 'snippet': []}",08112276,"{'locality': 'London', 'premises': '25 ', 'address_line_1': 'Berkeley Square', 'postal_code': 'W1J 6HN'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
146,"{'snippet': [], 'title': [1, 5]}",08787921,"{'country': 'England', 'postal_code': 'W1J 6HN', 'locality': 'London', 'premises': '25 ', 'address_line_1': 'Berkeley Square'}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
147,"{'snippet': [1, 5], 'title': [1, 5]}",03576013,"{'address_line_1': 'Drury Lane', 'postal_code': 'WC2B 5SQ', 'premises': '55', 'locality': 'London', 'country': 'England', 'address_line_2': '4th Floor'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
148,"{'title': [1, 5], 'snippet': [1, 5]}",07547510,"{'address_line_2': '4th Floor', 'country': 'England', 'locality': 'London', 'premises': '55', 'address_line_1': 'Drury Lane', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
149,"{'snippet': [], 'title': [1, 5]}",08198098,"{'postal_code': 'WC2B 5SQ', 'address_line_1': 'Drury Lane', 'locality': 'London', 'premises': '55', 'country': 'England', 'address_line_2': '4th Floor'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
150,"{'snippet': [], 'title': [1, 5]}",13767918,"{'locality': 'London', 'premises': '55', 'postal_code': 'WC2B 5SQ', 'address_line_1': 'Drury Lane 4th Floor', 'country': 'United Kingdom'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
151,"{'snippet': [], 'title': [1, 5]}",11894148,"{'address_line_1': 'Drury Lane', 'postal_code': 'WC2B 5SQ', 'premises': '55 ', 'locality': 'London', 'country': 'England', 'address_line_2': '4th Floor'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
152,"{'title': [1, 5], 'snippet': []}",08112276,"{'address_line_1': 'Berkeley Square', 'postal_code': 'W1J 6HN', 'premises': '25 ', 'locality': 'London'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
153,"{'snippet': [], 'title': [1, 5]}",08787921,"{'premises': '25 ', 'locality': 'London', 'address_line_1': 'Berkeley Square', 'postal_code': 'W1J 6HN', 'country': 'England'}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
154,"{'snippet': [1, 5], 'title': [1, 5]}",03576013,"{'address_line_1': 'Drury Lane', 'postal_code': 'WC2B 5SQ', 'country': 'England', 'locality': 'London', 'premises': '55', 'address_line_2': '4th Floor'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
155,"{'title': [1, 5], 'snippet': [1, 5]}",07547510,"{'address_line_1': 'Drury Lane', 'country': 'England', 'postal_code': 'WC2B 5SQ', 'locality': 'London', 'premises': '55', 'address_line_2': '4th Floor'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
156,"{'snippet': [], 'title': [1, 5]}",08198098,"{'postal_code': 'WC2B 5SQ', 'country': 'England', 'address_line_1': 'Drury Lane', 'locality': 'London', 'premises': '55', 'address_line_2': '4th Floor'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
157,"{'snippet': [], 'title': [1, 5]}",13767918,"{'locality': 'London', 'country': 'United Kingdom', 'postal_code': 'WC2B 5SQ', 'address_line_1': 'Drury Lane 4th Floor', 'premises': '55'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
158,"{'snippet': [], 'title': [1, 5]}",11894148,"{'address_line_2': '4th Floor', 'premises': '55 ', 'locality': 'London', 'address_line_1': 'Drury Lane', 'country': 'England', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
159,"{'title': [1, 5], 'snippet': []}",08112276,"{'locality': 'London', 'address_line_1': 'Berkeley Square', 'postal_code': 'W1J 6HN', 'premises': '25 '}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
160,"{'snippet': [], 'title': [1, 5]}",08787921,"{'postal_code': 'W1J 6HN', 'country': 'England', 'address_line_1': 'Berkeley Square', 'locality': 'London', 'premises': '25 '}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
161,"{'title': [1, 5], 'snippet': [1, 5]}",03576013,"{'premises': '55', 'country': 'England', 'address_line_1': 'Drury Lane', 'address_line_2': '4th Floor', 'locality': 'London', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
162,"{'snippet': [1, 5], 'title': [1, 5]}",07547510,"{'premises': '55', 'country': 'England', 'address_line_1': 'Drury Lane', 'address_line_2': '4th Floor', 'locality': 'London', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
163,"{'snippet': [], 'title': [1, 5]}",08198098,"{'premises': '55', 'country': 'England', 'address_line_1': 'Drury Lane', 'address_line_2': '4th Floor', 'postal_code': 'WC2B 5SQ', 'locality': 'London'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
164,"{'snippet': [], 'title': [1, 5]}",13767918,"{'address_line_1': 'Drury Lane 4th Floor', 'country': 'United Kingdom', 'premises': '55', 'postal_code': 'WC2B 5SQ', 'locality': 'London'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
165,"{'snippet': [], 'title': [1, 5]}",11894148,"{'address_line_2': '4th Floor', 'locality': 'London', 'postal_code': 'WC2B 5SQ', 'country': 'England', 'address_line_1': 'Drury Lane', 'premises': '55 '}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
166,"{'snippet': [], 'title': [1, 5]}",08112276,"{'premises': '25 ', 'address_line_1': 'Berkeley Square', 'postal_code': 'W1J 6HN', 'locality': 'London'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
167,"{'title': [1, 5], 'snippet': []}",08787921,"{'country': 'England', 'address_line_1': 'Berkeley Square', 'premises': '25 ', 'postal_code': 'W1J 6HN', 'locality': 'London'}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
168,"{'snippet': [1, 5], 'title': [1, 5]}",03576013,"{'postal_code': 'WC2B 5SQ', 'address_line_1': 'Drury Lane', 'country': 'England', 'premises': '55', 'locality': 'London', 'address_line_2': '4th Floor'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
169,"{'title': [1, 5], 'snippet': [1, 5]}",07547510,"{'postal_code': 'WC2B 5SQ', 'locality': 'London', 'address_line_2': '4th Floor', 'premises': '55', 'address_line_1': 'Drury Lane', 'country': 'England'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
170,"{'snippet': [], 'title': [1, 5]}",08198098,"{'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor', 'locality': 'London', 'country': 'England', 'address_line_1': 'Drury Lane', 'premises': '55'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
171,"{'snippet': [], 'title': [1, 5]}",13767918,"{'postal_code': 'WC2B 5SQ', 'premises': '55', 'country': 'United Kingdom', 'address_line_1': 'Drury Lane 4th Floor', 'locality': 'London'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
172,"{'title': [1, 5], 'snippet': []}",11894148,"{'premises': '55 ', 'country': 'England', 'address_line_1': 'Drury Lane', 'address_line_2': '4th Floor', 'locality': 'London', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
173,"{'snippet': [], 'title': [1, 5]}",08112276,"{'locality': 'London', 'premises': '25 ', 'address_line_1': 'Berkeley Square', 'postal_code': 'W1J 6HN'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
174,"{'title': [1, 5], 'snippet': []}",08787921,"{'postal_code': 'W1J 6HN', 'locality': 'London', 'address_line_1': 'Berkeley Square', 'premises': '25 ', 'country': 'England'}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
175,"{'title': [1, 5], 'snippet': [1, 5]}",03576013,"{'country': 'England', 'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor', 'address_line_1': 'Drury Lane', 'premises': '55', 'locality': 'London'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
176,"{'snippet': [1, 5], 'title': [1, 5]}",07547510,"{'locality': 'London', 'premises': '55', 'address_line_1': 'Drury Lane', 'postal_code': 'WC2B 5SQ', 'country': 'England', 'address_line_2': '4th Floor'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
177,"{'title': [1, 5], 'snippet': []}",08198098,"{'postal_code': 'WC2B 5SQ', 'country': 'England', 'address_line_2': '4th Floor', 'address_line_1': 'Drury Lane', 'premises': '55', 'locality': 'London'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
178,"{'snippet': [], 'title': [1, 5]}",13767918,"{'postal_code': 'WC2B 5SQ', 'country': 'United Kingdom', 'locality': 'London', 'premises': '55', 'address_line_1': 'Drury Lane 4th Floor'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
179,"{'snippet': [], 'title': [1, 5]}",11894148,"{'country': 'England', 'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor', 'premises': '55 ', 'address_line_1': 'Drury Lane', 'locality': 'London'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
180,"{'snippet': [], 'title': [1, 5]}",08112276,"{'postal_code': 'W1J 6HN', 'address_line_1': 'Berkeley Square', 'premises': '25 ', 'locality': 'London'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
181,"{'snippet': [], 'title': [1, 5]}",08787921,"{'premises': '25 ', 'address_line_1': 'Berkeley Square', 'locality': 'London', 'postal_code': 'W1J 6HN', 'country': 'England'}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
182,"{'snippet': [1, 5], 'title': [1, 5]}",03576013,"{'premises': '55', 'address_line_2': '4th Floor', 'locality': 'London', 'country': 'England', 'postal_code': 'WC2B 5SQ', 'address_line_1': 'Drury Lane'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
183,"{'title': [1, 5], 'snippet': [1, 5]}",07547510,"{'premises': '55', 'address_line_2': '4th Floor', 'locality': 'London', 'country': 'England', 'postal_code': 'WC2B 5SQ', 'address_line_1': 'Drury Lane'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
184,"{'title': [1, 5], 'snippet': []}",08198098,"{'address_line_2': '4th Floor', 'premises': '55', 'locality': 'London', 'address_line_1': 'Drury Lane', 'country': 'England', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
185,"{'title': [1, 5], 'snippet': []}",13767918,"{'locality': 'London', 'country': 'United Kingdom', 'postal_code': 'WC2B 5SQ', 'address_line_1': 'Drury Lane 4th Floor', 'premises': '55'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
186,"{'snippet': [], 'title': [1, 5]}",11894148,"{'locality': 'London', 'address_line_1': 'Drury Lane', 'postal_code': 'WC2B 5SQ', 'country': 'England', 'premises': '55 ', 'address_line_2': '4th Floor'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
187,"{'title': [1, 5], 'snippet': []}",08112276,"{'address_line_1': 'Berkeley Square', 'postal_code': 'W1J 6HN', 'locality': 'London', 'premises': '25 '}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
188,"{'snippet': [], 'title': [1, 5]}",08787921,"{'address_line_1': 'Berkeley Square', 'country': 'England', 'postal_code': 'W1J 6HN', 'locality': 'London', 'premises': '25 '}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
189,"{'title': [1, 5], 'snippet': [1, 5]}",03576013,"{'premises': '55', 'address_line_1': 'Drury Lane', 'locality': 'London', 'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor', 'country': 'England'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
190,"{'title': [1, 5], 'snippet': [1, 5]}",07547510,"{'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor', 'country': 'England', 'address_line_1': 'Drury Lane', 'premises': '55', 'locality': 'London'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
191,"{'title': [1, 5], 'snippet': []}",08198098,"{'postal_code': 'WC2B 5SQ', 'country': 'England', 'address_line_2': '4th Floor', 'premises': '55', 'address_line_1': 'Drury Lane', 'locality': 'London'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
192,"{'snippet': [], 'title': [1, 5]}",13767918,"{'country': 'United Kingdom', 'postal_code': 'WC2B 5SQ', 'premises': '55', 'address_line_1': 'Drury Lane 4th Floor', 'locality': 'London'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
193,"{'title': [1, 5], 'snippet': []}",11894148,"{'locality': 'London', 'address_line_1': 'Drury Lane', 'premises': '55 ', 'country': 'England', 'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
194,"{'snippet': [], 'title': [1, 5]}",08112276,"{'postal_code': 'W1J 6HN', 'premises': '25 ', 'address_line_1': 'Berkeley Square', 'locality': 'London'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
195,"{'title': [1, 5], 'snippet': []}",08787921,"{'address_line_1': 'Berkeley Square', 'premises': '25 ', 'locality': 'London', 'postal_code': 'W1J 6HN', 'country': 'England'}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
196,"{'snippet': [1, 5], 'title': [1, 5]}",03576013,"{'address_line_2': '4th Floor', 'country': 'England', 'postal_code': 'WC2B 5SQ', 'locality': 'London', 'premises': '55', 'address_line_1': 'Drury Lane'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
197,"{'snippet': [1, 5], 'title': [1, 5]}",07547510,"{'locality': 'London', 'address_line_1': 'Drury Lane', 'premises': '55', 'postal_code': 'WC2B 5SQ', 'country': 'England', 'address_line_2': '4th Floor'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
198,"{'snippet': [], 'title': [1, 5]}",08198098,"{'address_line_2': '4th Floor', 'country': 'England', 'postal_code': 'WC2B 5SQ', 'address_line_1': 'Drury Lane', 'locality': 'London', 'premises': '55'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
199,"{'snippet': [], 'title': [1, 5]}",13767918,"{'country': 'United Kingdom', 'postal_code': 'WC2B 5SQ', 'premises': '55', 'locality': 'London', 'address_line_1': 'Drury Lane 4th Floor'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
200,"{'title': [1, 5], 'snippet': []}",11894148,"{'address_line_2': '4th Floor', 'premises': '55 ', 'locality': 'London', 'address_line_1': 'Drury Lane', 'country': 'England', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
201,"{'title': [1, 5], 'snippet': []}",08112276,"{'postal_code': 'W1J 6HN', 'premises': '25 ', 'address_line_1': 'Berkeley Square', 'locality': 'London'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
202,"{'snippet': [], 'title': [1, 5]}",08787921,"{'country': 'England', 'postal_code': 'W1J 6HN', 'premises': '25 ', 'address_line_1': 'Berkeley Square', 'locality': 'London'}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
203,"{'snippet': [1, 5], 'title': [1, 5]}",03576013,"{'address_line_1': 'Drury Lane', 'premises': '55', 'locality': 'London', 'country': 'England', 'address_line_2': '4th Floor', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
204,"{'snippet': [1, 5], 'title': [1, 5]}",07547510,"{'country': 'England', 'address_line_2': '4th Floor', 'address_line_1': 'Drury Lane', 'locality': 'London', 'premises': '55', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
205,"{'snippet': [], 'title': [1, 5]}",08198098,"{'address_line_2': '4th Floor', 'country': 'England', 'premises': '55', 'locality': 'London', 'address_line_1': 'Drury Lane', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
206,"{'title': [1, 5], 'snippet': []}",13767918,"{'postal_code': 'WC2B 5SQ', 'country': 'United Kingdom', 'premises': '55', 'locality': 'London', 'address_line_1': 'Drury Lane 4th Floor'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
